,OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID,Year,Geography,Geographic Area Name,Total_Population,City
0,1.0,San Bernardino,Adelanto,202527216.65625,122818.299432443,a112aaa2-6c60-4c6f-83c5-5a03126064e8,2010,1600000US0600296,"Adelanto city, California",29764.0,Adelanto
1,2.0,Los Angeles,Agoura Hills,29643180.1953125,29626.9407231508,b9192abb-2d64-4f7b-b9dc-97b8a703521b,2010,1600000US0600394,"Agoura Hills city, California",20328.0,Agoura Hills
2,3.0,Alameda,Alameda,43583052.453125,52137.8769118302,b8a7f28a-a71e-4e96-bd7e-78cf84f27f7d,2010,1600000US0600562,"Alameda city, California",72512.0,Alameda
3,4.0,Alameda,Albany,7558117.2109375,16774.017561212,f25071bd-a3d2-437a-bdf4-2d25a0aea1f4,2010,1600000US0600674,"Albany city, California",17921.0,Albany
4,5.0,Los Angeles,Alhambra,28883376.6367188,25461.4876329188,a74ff6de-81a9-4d98-b4dc-a1f9d9730f4b,2010,1600000US0600884,"Alhambra city, California",83389.0,Alhambra
5,6.0,Orange,Aliso Viejo,25901253.5117188,33775.3696308583,32e63b56-98f9-462e-9e0d-86ed32f59a6f,2010,1600000US0600947,"Aliso Viejo city, California",46329.0,Aliso Viejo
6,7.0,Modoc,Alturas,13359025.0585938,23764.8127344721,f87fe79e-88fe-44fe-bacf-b16d00e72320,2010,1600000US0601444,"Alturas city, California",2833.0,Alturas
7,8.0,Amador,Amador City,1307710.1328125,4628.80717539254,0b0e5dd4-dd76-4d23-b8db-5f80e581a6d9,2010,1600000US0601514,"Amador City city, California",128.0,Amador City
8,9.0,Napa,American Canyon,25657660.1835938,34793.6440438085,0e0b9daf-6b3d-4783-a074-8607c357f0eb,2010,1600000US0601640,"American Canyon city, California",17692.0,American Canyon
9,10.0,Orange,Anaheim,196108999.554688,147822.690354671,7b29a09d-80e7-4ecf-a52d-6fa122b3651c,2010,1600000US0602000,"Anaheim city, California",333039.0,Anaheim
10,11.0,Shasta,Anderson,32458888.3984375,47510.5481526246,d8e5af81-bf95-43bc-87b0-bdb8fc4aa286,2010,1600000US0602042,"Anderson city, California",9910.0,Anderson
11,13.0,Contra Costa,Antioch,124941447.402344,74914.6180628466,3425eb3e-ab73-490a-a609-8b129dc2551c,2010,1600000US0602252,"Antioch city, California",99717.0,Antioch
12,15.0,Los Angeles,Arcadia,42082448.140625,48662.39865065,ef3b66aa-bcd6-433f-b223-138330934559,2010,1600000US0602462,"Arcadia city, California",55704.0,Arcadia
13,16.0,Humboldt,Arcata,51385121.5664063,75159.8543906089,d4015cfd-be17-4795-993f-9b16b5473331,2010,1600000US0602476,"Arcata city, California",17100.0,Arcata
14,17.0,San Luis Obispo,Arroyo Grande,23011217.6171875,31484.2368777697,f24cf9f8-c008-4879-bab2-12ba38562928,2010,1600000US0602868,"Arroyo Grande city, California",16990.0,Arroyo Grande
15,18.0,Los Angeles,Artesia,6128534.55859375,15055.4587668051,a4a86472-9eaa-487d-8231-1021d9979654,2010,1600000US0602896,"Artesia city, California",16476.0,Artesia
16,19.0,Kern,Arvin,18685857.6328125,26421.7606989487,8efc70e8-1780-476f-af6e-6e2e31b1f895,2010,1600000US0602924,"Arvin city, California",18329.0,Arvin
17,20.0,San Luis Obispo,Atascadero,102461859.882813,57267.537566731,c655e318-452c-47f4-8afb-42f479315749,2010,1600000US0603064,"Atascadero city, California",27981.0,Atascadero
18,22.0,Merced,Atwater,27568273.9726563,45442.5725787282,df3340e1-4411-4118-89a9-17a3291b67fd,2010,1600000US0603162,"Atwater city, California",27587.0,Atwater
19,23.0,Placer,Auburn,30627246.328125,59836.922974527,672df8e3-4684-4403-832f-92ca411d9d75,2010,1600000US0603204,"Auburn city, California",13451.0,Auburn
20,24.0,Los Angeles,Avalon,10948557.5898438,20901.4057551505,560550f8-6871-41d4-a0cd-4754b5cec5ad,2010,1600000US0603274,"Avalon city, California",3661.0,Avalon
21,25.0,Kings,Avenal,77458981.5390625,55421.4830221233,77f517a7-7ba5-4159-b73b-9ed6ed558008,2010,1600000US0603302,"Avenal city, California",15749.0,Avenal
22,26.0,Los Angeles,Azusa,36615279.453125,58591.2627191577,cb5f0af2-849d-46fd-94f1-02f0adb1cfcb,2010,1600000US0603386,"Azusa city, California",46015.0,Azusa
23,27.0,Kern,Bakersfield,591957825.328125,536308.402107617,e87b9568-4d95-4ecd-a142-41268e583cbe,2010,1600000US0603526,"Bakersfield city, California",331868.0,Bakersfield
24,28.0,Los Angeles,Baldwin Park,25658138.6914063,32301.7639831901,060f5a5a-82ed-416e-a0f9-8ca754dbe65a,2010,1600000US0603666,"Baldwin Park city, California",75387.0,Baldwin Park
25,29.0,Riverside,Banning,87707280.59375,98557.2975789746,654116ac-4eea-4993-ad53-d0990c693a16,2010,1600000US0603820,"Banning city, California",29030.0,Banning
26,30.0,San Bernardino,Barstow,159114428.855469,124528.363805011,2d264963-33f7-45e0-afb7-dc27bf7b63d3,2010,1600000US0604030,"Barstow city, California",22983.0,Barstow
27,31.0,Riverside,Beaumont,114352990.65625,95506.7991222663,b77d8417-10b4-4c2f-9a0f-82f65d1ea8ac,2010,1600000US0604758,"Beaumont city, California",32847.0,Beaumont
28,32.0,Los Angeles,Bell,9896026.3125,24187.7973649776,6d6fa9b6-09fe-4d1d-a80e-14c8066ae6d5,2010,1600000US0604870,"Bell city, California",35648.0,Bell
29,33.0,Los Angeles,Bell Gardens,9285293.390625,14226.2157586177,2519eb23-edc0-4724-be7b-9fa3d0a97fef,2010,1600000US0604996,"Bell Gardens city, California",42408.0,Bell Gardens
30,34.0,Los Angeles,Bellflower,23316766.09375,21825.9089684598,7870b149-77ef-44dd-8bda-83ce1e1671b3,2010,1600000US0604982,"Bellflower city, California",75944.0,Bellflower
31,35.0,San Mateo,Belmont,19123418.1992188,28173.7772276943,3cae9a74-f54c-4211-ace2-e7d6c3943792,2010,1600000US0605108,"Belmont city, California",25281.0,Belmont
32,36.0,Marin,Belvedere,2645760.046875,8307.52493870506,355cc2b2-ec2a-4160-936f-5f58cc3f72fd,2010,1600000US0605164,"Belvedere city, California",2116.0,Belvedere
33,37.0,Solano,Benicia,54541414.734375,44254.5232957136,950ed4e1-d97b-4c75-b95c-b9f45e348467,2010,1600000US0605290,"Benicia city, California",26959.0,Benicia
34,38.0,Alameda,Berkeley,44043848.6679688,41459.8367324381,6e2ab811-24ca-4405-858b-4b515f2cbf1b,2010,1600000US0606000,"Berkeley city, California",109408.0,Berkeley
35,39.0,Los Angeles,Beverly Hills,21616862.796875,31778.1464910811,efe66720-091a-40ff-97d2-84df7e2b6e02,2010,1600000US0606308,"Beverly Hills city, California",33980.0,Beverly Hills
36,40.0,San Bernardino,Big Bear Lake,24456282.1484375,56830.6192226937,22313489-4ea2-4f8d-b732-96a85734cc05,2010,1600000US0606434,"Big Bear Lake city, California",5171.0,Big Bear Lake
37,41.0,Butte,Biggs,3846221.96875,16135.5486184904,af347e2a-a981-4860-a8e6-86ada7fd3c7d,2010,1600000US0606560,"Biggs city, California",2077.0,Biggs
38,42.0,Inyo,Bishop,7733927.79296875,20427.2825511611,0d21b968-d076-4167-bdbb-12cdccfdbbaa,2010,1600000US0606798,"Bishop city, California",3826.0,Bishop
39,43.0,Humboldt,Blue Lake,2934186.11328125,12023.8197091084,fbc1c05f-c1ab-4287-ae33-30f37c748734,2010,1600000US0607162,"Blue Lake city, California",1293.0,Blue Lake
40,44.0,Riverside,Blythe,102128779.167969,121185.789441709,7043d734-eb55-41ec-8d86-b50f2406934c,2010,1600000US0607218,"Blythe city, California",21164.0,Blythe
41,45.0,Los Angeles,Bradbury,7454190.37109375,14387.3505835872,8c1b5b8c-e57c-47e8-bea9-8c33f7ae02bd,2010,1600000US0607946,"Bradbury city, California",978.0,Bradbury
42,46.0,Imperial,Brawley,29855025.03125,38180.6914694529,62719834-e1c8-4e0c-bbe6-eb1ecad56741,2010,1600000US0608058,"Brawley city, California",24288.0,Brawley
43,47.0,Orange,Brea,46234997.2148438,68241.9707096387,8520349e-12de-4a99-b7c9-80b763721795,2010,1600000US0608100,"Brea city, California",38427.0,Brea
44,48.0,Contra Costa,Brentwood,62015016.90625,55421.5446414708,57f44770-2dee-4e7c-b3bb-72ea924d5ffc,2010,1600000US0608142,"Brentwood city, California",46283.0,Brentwood
45,49.0,San Mateo,Brisbane,13141853.6601563,22435.465536382,57a2d229-f92d-4dd1-9918-ff5202225025,2010,1600000US0608310,"Brisbane city, California",4098.0,Brisbane
46,50.0,Santa Barbara,Buellton,6141802.3671875,14624.7621433802,22b6367d-dd78-4c17-a6ef-3c8767d1f32f,2010,1600000US0608758,"Buellton city, California",4609.0,Buellton
47,51.0,Orange,Buena Park,39656062.1640625,48303.8377154201,91e1bad8-fe4c-462e-95cc-d9ba0c260efd,2010,1600000US0608786,"Buena Park city, California",79744.0,Buena Park
48,52.0,Los Angeles,Burbank,65680187.7109375,37732.6951002645,6db9ddaa-7063-4c73-876d-194be1e2c587,2010,1600000US0608954,"Burbank city, California",102723.0,Burbank
49,52.0,Los Angeles,Burbank,65680187.7109375,37732.6951002645,6db9ddaa-7063-4c73-876d-194be1e2c587,2010,1600000US0608968,"Burbank CDP, California",4927.0,Burbank
50,53.0,San Mateo,Burlingame,18469807.4257813,33027.5678387048,bfaef773-993c-4454-8272-205fb12fd32d,2010,1600000US0609066,"Burlingame city, California",28204.0,Burlingame
51,54.0,Los Angeles,Calabasas,52298281.7851563,55027.0141093007,485c70b9-9bab-4aeb-be5c-7163cca1743c,2010,1600000US0609598,"Calabasas city, California",22686.0,Calabasas
